2023-04-13 10:32:02.6901||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:32:03.6992||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:32:04.8438||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:32:07.5999||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:32:29.0157||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:32:30.7335||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:32:38.4002||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:32:43.8668||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:42:49.4142||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:42:49.9289||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:43:18.7774||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:43:35.6538||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:43:57.3505||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:43:57.5055||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
2023-04-13 10:47:46.3716||DEBUG|IdentityServer4.Hosting.CorsPolicyProvider|CORS request made for path: /api/link-GC_LICH_HANG_NGAY/ from origin: http://localhost:8087 but was ignored because path was not for an allowed IdentityServer CORS endpoint |url: http://localhost/api/link-GC_LICH_HANG_NGAY/|action: Get
